##,name,portal,"NCBI Taxon","assembly length","#of genes","is public","is published","is superseded","superseded by","publication(s)","pubmed id(s)"
258,"Meripilus sumstinei FP 105329 v1.0",Mersum1,1940299,32757303,10348,Y,N,N,,,
259,"Hericium coralloides FP-101451 v1.0",Hercor1,100756,35332148,12369,Y,N,N,,,
260,"Benjaminiella poitrasii RSA 903 v1.0",Benpoi1,64631,32504669,11659,Y,N,N,,,
261,"Papiliotrema laurentii 5307AH v1.0",Papla1,5418,19510785,7537,Y,N,N,,,
262,"Dendrothele microspora FP 101998 v1.0",Denmi1,1124678,45655992,17356,Y,N,N,,,
263,"Nectriopsis sporangicola NRRL 22127 v1.0",Necsp1,1155948,25479315,8044,Y,N,N,,,
264,"Penicillium nordicum DAOMC 185683",Pennord1,229535,30844022,12959,Y,Y,N,,"Wingfield BD et al.,2015","26734552"
265,"Galzinia incrustans CBS 104901 v1.0",Galinc1,202708,51415400,15855,Y,N,N,,,
266,"Phoma multirostrata 7a v1.0",Phomu1,73003,33277225,12099,Y,N,N,,,
267,"Armillaria tabescens CCBAS 213 v1.0",Armtab1,47431,74875987,19032,Y,N,N,,,
268,"Boreostereum radiatum TFC1981-005 v1.0",Borrad1,103380,38735177,12283,Y,N,N,,,
269,"Trichoderma atrobrunneum ITEM 908",Triatrob1,1491457,39149368,8637,Y,Y,N,,"Fanelli F et al.,2018","30200883"
270,"Melampsora americana R15-033-03 v1.0",Melame1,2182807,112350849,15984,Y,N,N,,,
271,"Lentinula novae-zelandiae TMI-1172 v1.0",Lennov1,42442,35621183,12286,Y,N,N,,,
272,"Lentinula afn. lateritia sp 3 TMI1502 v1.0",Lenafn_TMI1502_1,40482,38884662,12462,Y,N,N,,,
273,"Melampsora medusae f. sp. Deltoidae Mmd05TRE539 v1.0",Melmed1,82101,139726837,20491,Y,N,N,,,
274,"Lentinula raphanica TFB9929 ss4 v1.0",Lenrap1_155,153919,40086852,14352,Y,N,N,,,
275,"Suillus bovinus UH-Sbo-P2 v1.0",Suibov1,48563,47496138,13537,Y,N,N,,,
276,"Suillus paluster FC165 v1.0",Suipal1,48578,61993750,16585,Y,N,N,,,
277,"Suillus lakei FC43 v1.0",Suilak1,48574,79746074,19384,Y,N,N,,,
278,"Suillus occidentalis FC124 v1.0",Suiocc1,756607,57963537,16030,Y,N,N,,,
279,"Rhodocollybia butyracea CCBAS 279 v1.0",Rhobu1,206335,78814333,19884,Y,N,N,,,
280,"Eurotiomycetes sp. JF 03-3F Goopy v1.0",EurotioJF033F_1,2486360,28289675,11344,Y,N,N,,,
281,"Eurotiomycetes sp. JF 03-4F Slimy v1.0",EurotioJF034F_1,2486359,28227525,11358,Y,N,N,,,
282,"Pisolithus albus SI12 v1.0",Pisalb1,178870,87748750,17029,Y,N,N,,,
283,"Pisolithus croceorrhizus subspA 74A v1.0",Piscro1,2060934,80714400,15799,Y,N,N,,,
284,"Pisolithus marmoratus ssp. 2 16A v1.0",Pismar1,178871,122384764,21754,Y,N,N,,,
285,"Pisolithus thermaeus 11 v1.0",Pisthe1,2136032,81921463,15712,Y,N,N,,,
286,"Tuber melanosporum Mel28 v1.2",Tubme1v2,656061,124945702,10058,Y,Y,N,,"Martin F et al.,2010~Murat C et al.,2018","20348908 30420746"
287,"Yarrowia lipolytica YB419 v1.0",YarliYB419,4952,20144947,6751,Y,Y,N,,"Walker C et al.,2018","30533660"
288,"Yarrowia lipolytica YB420 v1.0",YarliYB420,4952,20196166,6772,Y,Y,N,,"Walker C et al.,2018","30533660"
289,"Yarrowia lipolytica YB392 v1.0",YarliYB392,4952,20178742,6750,Y,Y,N,,"Walker C et al.,2018","30533660"
290,"Yarrowia lipolytica YB567 v1.0",YarliYB567,4952,20268095,6776,Y,Y,N,,"Walker C et al.,2018","30533660"
291,"Yarrowia lipolytica YB566 v1.0",YarliYB566,4952,20271681,6764,Y,Y,N,,"Walker C et al.,2018","30533660"
292,"Cylindrocarpon olidum MPI-CAGE-CH-0241 v1.0",Cylol1,303675,52862545,16645,Y,N,N,,,
293,"Neonectria radicicola MPI-CAGE-AT-0134 v1.0",Neora1,64609,71715727,22025,Y,N,N,,,
294,"Lactarius deliciosus 48 v1.0",Lacdel1,55514,96043985,18193,Y,N,N,,,
295,"Lactarius vividus 141 v1.0",Lacviv1,1740625,69041955,11612,Y,N,N,,,
296,"Lactarius akahatsu QP v1.0",Lacaka1,416441,80299772,12853,Y,N,N,,,
297,"Lactarius hengduanensis 84 v1.0",Lachen1,1932122,61963203,15957,Y,N,N,,,
298,"Lactarius pseudohatsudake 88 v1.0",Lacpse1,1932123,99708583,20824,Y,N,N,,,
299,"Lactarius hatsudake 109 v1.0",Lachat1,416442,95486030,16831,Y,N,N,,,
300,"Lactarius sanguifluus B21 v1.0",Lacsan1,111137,86240450,17481,Y,N,N,,,
301,"Dissophora ornata CBS 347.77 v1.0",Disorn1,979620,38942631,12584,Y,N,N,,,
302,"Epithele typhae CBS 203.58 v1.0",Epityp1,378194,56143418,13759,Y,N,N,,,
303,"Nia vibrissa CBS 119815 v1.0",Niavib1,155003,26355186,10400,Y,N,N,,,
304,"Boliniaceae sp. AZ0804 v1.0",Cornip1,1907230,37032637,9820,Y,N,N,,,
305,"Teichospora sp. FL1471 v1.0",Currey1,1907231,31665731,10955,Y,N,N,,,
306,"Gloniopsis sp. FL0384 v1.0",Glonio1,1907235,35836257,12423,Y,N,N,,,
307,"Urocystis occulta CBS 102.71 v1.0",Uroocc1,1983702,18574243,6708,Y,N,N,,,
308,"Colletotrichum sp. CBS 101611",Colsp1,34409,62965231,17391,Y,N,N,,,
309,"Colletotrichum tamarilloi CBS 129955",Colta1,1209934,52077224,17399,Y,N,N,,,
310,"Colletotrichum costaricense IMI 309622",Colco1,1209916,51625248,17126,Y,N,N,,,
311,"Colletotrichum chlorophyti NTL11",Colch1,708187,52387045,10310,Y,Y,N,,"Gan P et al.,2017","28280027"
312,"Colletotrichum cuscutae IMI 304802",Colcu1,1209917,80453496,17289,Y,N,N,,,
313,"Colletotrichum abscissum IMI 504890",Colab1,1671311,53936108,17280,Y,N,N,,,
314,"Colletotrichum incanum MAFF 238712",Colin1,1573173,53254579,11852,Y,Y,N,,"Gan P et al.,2016","27189990"
315,"Colletotrichum lupini IMI 504893",Collup1,145971,63407421,18324,Y,N,N,,,
316,"Colletotrichum paranaense IMI 384185",Colpa1,1914294,49177916,16775,Y,N,N,,,
317,"Colletotrichum melonis CBS 134730",Colme1,1209925,50135825,16823,Y,N,N,,,
318,"Colletotrichum tofieldiae CBS 168.49",Coltof1,708197,52962735,16451,Y,N,N,,,
319,"Colletotrichum orbiculare 104-T",Colorb1,5465,90086138,13348,Y,Y,N,,"Gan P et al.,2013","23252678"
320,"Agrocybe praecox OKM6292 v1.0",Agrpra2,71668,46411657,12993,Y,N,N,,,
321,"Geopyxis carbonaria DOB1671 v1.0",Geocar1,49969,49454325,11663,Y,N,N,,,
322,"Piptocephalis tieghemiana RSA 1565 v1.0",Piptie1,1286916,18550337,5811,Y,N,N,,,
323,"Myceliophthora similis CBS 632.67 v1.0",Corsim1,1403191,31812524,9392,Y,N,N,,,
324,"Chytriomyces hyalinus JEL632 v1.0",Chyhya1,4814,38103441,15516,Y,N,N,,,
325,"Phaeosolenia platensis CBS 268.64 v1.0",Phapla1,269161,59053793,16000,Y,N,N,,,
326,"Cristinia sonorae KKN 215 v1.0",Crison1,1940300,30130434,11356,Y,N,N,,,
327,"Gorgonomyces haynaldii MP57 v1.0",Gorhay1,382530,13983420,7898,Y,N,N,,,
328,"Blakeslea trispora F921 v1.0",Blatri_F921_1,4850,33516133,11119,Y,N,N,,,
329,"Blakeslea trispora F986 v1.0",Blatri_F986_2,4850,32322358,10672,Y,N,N,,,
330,"Paecilomyces variotii CBS144490 HYG1 v1.0",Paevar_HGY_1,264951,32365222,9230,Y,Y,N,,"Urquhart AS et al.,2018","30619145"
331,"Crepidotus cesatii CBS 511.95 v1.0",Creces1,110238,36042615,12891,Y,N,N,,,
332,"Laxitextum bicolor CBS 258.73 v1.0",Laxbic1,68771,40781994,11418,Y,N,N,,,
333,"Albatrellus peckianus DAOM 52321 v1.0",Albpec1,80572,48114380,15010,Y,N,N,,,
334,"Rhizophagus cerebriforme DAOM 227022 v1.0",Rhice1_1,658196,136890557,21549,Y,Y,N,,"Morin E et al.,2019","30636349"
335,"Gigaspora rosea v1.0",Gigro1,44941,567950182,31291,Y,Y,N,,"Morin E et al.,2019","30636349"
336,"Rhizophagus diaphanus v1.0",Rhidi1,1348878,125876003,23252,Y,Y,N,,"Morin E et al.,2019","30636349"
337,"Anomoporia myceliosa MJL 4413 v1.0",Anomyc1,693289,45712503,11797,Y,N,N,,,
338,"Helicostylum pulchrum RSA 2064 v1.0",Helpul1,562976,32727348,12794,Y,N,N,,,
339,"Psilocybe serbica v1.0",Psiser1,797126,61285081,15481,Y,Y,N,,"Fricke J et al.,2017","28763571"
340,"Choanephora cucurbitarum NRRL2744 (50) v1.0",Chocucu1,101091,35108735,11534,Y,N,N,,,
341,"Lactarius psammicola BPL869 v1.0",Lacpsa1,1907521,69824043,13442,Y,N,N,,,
342,"Stomiopeltis betulae CBS114420 v1.0",Stobe1,706121,37547027,12707,Y,N,N,,,
343,"Myxozyma melibiosi Phaff 52-87 v1.0",Myxme1,54550,15330035,6299,Y,N,N,,,
344,"Fusarium venenatum MPI-CAGE-CH-0201 v1.0",Fusven1,56646,37452605,12845,Y,N,N,,,
345,"Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0",Dacma1,307937,77328613,21304,Y,N,N,,,
346,"Pleospora avicennia ATCC 66911 v1.0",Pleav1,193131,40969476,11537,Y,N,N,,,
347,"Fusarium oxysporum MPI-CAGE-CH-0212 v1.0",Fusoxys1,5507,55719217,17726,Y,N,N,,,
348,"Fusarium tricinctum MPI-SDFR-AT-0044 v1.0",Fustri1,61284,42232206,14043,Y,N,N,,,
349,"Fusarium tricinctum MPI-SDFR-AT-0068 v1.0",Fustr1,61284,43693088,14106,Y,N,N,,,
350,"Armillaria luteobubalina HWK02 v1.0",Armlut1,153913,97106278,20318,Y,N,N,,,
351,"Armillaria ectypa FPL83.16 v1.0",Armect1,47430,40598130,12228,Y,N,N,,,
352,"Armillaria nabsnona CMW6904 v1.0",Armnab1,64368,62718798,19015,Y,N,N,,,
353,"Veluticeps abietina OMC1657 v1.0",Velabi1,941530,43349316,13653,Y,N,N,,,
354,"Anomoloma albolutescens OMC1655 v1.0",Anoalb1,693288,41350632,11099,Y,N,N,,,
355,"Lasiosphaeris hispida CBS 955.72 v1.0",Lashi1,260671,48441159,14680,Y,N,N,,,
356,"Podospora appendiculata CBS 314.62 v1.0",Podap1,314037,39954210,11955,Y,N,N,,,
357,"Fusarium commune MPI-SDFR-AT-0072 v1.0",Fusco1,249398,48370669,15731,Y,N,N,,,
358,"Morchella snyderi DOB2414 v1.0",Morsny1,1174678,54771879,11100,Y,N,N,,,
359,"Coprinellus angulatus DOB1924 v1.0",Copang1,980116,93565539,25937,Y,N,N,,,
360,"Rhodosporidium diobovatum 08-225 v1.0",Rhodia1_1,5288,21142622,7974,Y,N,N,,,
361,"Hygrophoropsis aurantiaca ATCC 28755 v1.0",Hygaur1,72124,36975565,14285,Y,N,N,,,
362,"Lophodermium nitens PLMe3-1-3 v1.0",Lopnit1_1,190466,74665558,19985,Y,N,N,,,
363,"Coniochaeta sp. 2T2.1 v1.0",Conioc1,1571157,74351065,24735,Y,Y,N,,"Mondo SJ et al.,2019","31572496"
364,"Melanops tulasnei CBS 116805 v1.0",Meltu1,371115,29236165,10192,Y,N,N,,,
365,"Fenestella fenestrata ATCC 66461 v1.0",Fenfe1,914049,32694302,11804,Y,N,N,,,
366,"Suillus clintonianus FC179 v1.0",Suicli1,1904413,46838326,15530,Y,N,N,,,
367,"Suillus ampliporus FC55 v1.0",Suiamp1,1912932,58334580,16527,Y,N,N,,,
368,"Rhizopogon vulgaris FC72 v1.0",Rhivul1,36057,39902050,11905,Y,N,N,,,
369,"Rhizopogon truncatus FC74 v1.0",Rhitru1,98235,38907862,11852,Y,N,N,,,
370,"Zoophthora radicans ATCC 208865 v1.0",Zoorad1,42210,655199646,14479,Y,N,N,,,
371,"Slooffia pilatii Y-17178 v1.0",Slopil1,106016,34802152,12822,Y,N,N,,,
372,"Botryozyma mucatilis CBS 9042 v1.0",Botmuc1,280465,21119431,5716,Y,N,N,,,
373,"Triparticalcar arcticum BR59 v1.0",Triarc1,1117335,31548172,10963,Y,N,N,,,
374,"Fusarium solani FSSC 5 v1.0",Fusso1,169388,52932111,17656,Y,N,N,,,
375,"Fusarium sp. FIESC 12 v1.0",Fuseq1,61235,40328194,13580,Y,N,N,,,
376,"Hyaloraphidium curvatum SAG235-1 v1.0",Hyacur1,82268,31926619,15197,Y,N,N,,,
377,"Powellomyces hirtus BR81 v1.0",Powhir1,109895,29428253,9359,Y,N,N,,,
378,"Halteromyces radiatus CBS 162.75 v1.0",Halrad1,101107,26215609,10175,Y,N,N,,,
379,"Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0",Daces1,1079267,64663708,19198,Y,N,N,,,
380,"Neurospora crassa clade B FGSC 4830 v1.0",Neucr4830_1,5141,37056930,10586,Y,N,N,,,
381,"Blumeria graminis f. sp. hordei DH14",Blugr2,546991,124489486,7118,Y,Y,N,,"Frantzeskakis L et al.,2018","29788921"
382,"Blumeria graminis f. sp. hordei Race1",BlugrR1_1,62688,116475897,7239,Y,Y,N,,"Frantzeskakis L et al.,2018","29788921"
383,"Suillus subalutaceus FC151 v1.0",Suisu1,48586,64971567,17080,Y,N,N,,,
384,"Mycena albidolilacea CBHHK002 v1.0",Mycalb1,1033008,126717228,36941,Y,N,N,,,
385,"Russula ochroleuca P?ilba v1.0",Rusoch1,152965,44738512,12048,Y,N,N,,,
386,"Fomitopsis rosea Sig1Fomros20-ss v1.0",Fomro1,34475,34744036,12672,Y,N,N,,,
387,"Urocystis primulicola RUB 030670 v1.0",Uropr1,2183100,13824135,5998,Y,N,N,,,
388,"Phellopilus nigrolimitatus SigPhenig9 v1.0",Pheni1,127956,56764883,14792,Y,N,N,,,
389,"Dendryphion nanum MPI-CAGE-CH-0243 v1.0",Denna1,256645,41131413,13889,Y,N,N,,,
390,"Phaeosphaeria poagena MPI-PUGE-AT-0046c v1.0",Phapo1,1508275,34077024,12804,Y,N,N,,,
391,"Alternaria rosae MPI-PUGE-AT-0040 v1.0",Altro1,1187941,33831682,12640,Y,N,N,,,
392,"Macrophomina phaseolina MPI-SDFR-AT-0080 v1.0",Macpha1,35725,53641247,14845,Y,N,N,,,
393,"Chaetomidium fimeti CBS 168.71 v1.0",Chafi1,1854472,35321551,11448,Y,N,N,,,
394,"Lobaria pulmonaria Africa extracted metagenome v1.0",LobpulAf1,86794,55026754,16100,Y,N,N,,,
395,"Lobaria pulmonaria Scotland extracted metagenome v1.0",LobpulSc1,86794,55851292,16471,Y,N,N,,,
396,"Lobaria pulmonaria Spain extracted metagenome v1.0",LobpulSp1,86794,55603861,16296,Y,N,N,,,
397,"Lobaria pulmonaria Switzerland extracted metagenome v1.0",LobpulSw1,86794,54928118,16426,Y,N,N,,,
398,"Golovinomyces cichoracearum UCSC1 v1.0",Golci1,62708,146841591,6782,Y,N,N,,,
399,"Peziza echinospora DOB1120 v1.0",Pezech1,61495,63768826,10991,Y,N,N,,,
400,"Tricharina praecox DOB2270 v1.0",Tripra1,43433,38357564,10413,Y,N,N,,,
401,"Pholiota highlandensis v1.0",Phohig1,2066989,66044324,17825,Y,N,N,,,
402,"Mortierella minutissima AD051 v1.0",Mormin1_1,64525,42872265,13383,Y,N,N,,,
403,"Cladochytrium polystomum WB228 v1.0",Clapol1_1,1437435,81192468,16599,Y,N,N,,,
404,"Coemansia mojavensis RSA 71 v1.0",Coemoj1,4864,14291446,6859,Y,N,N,,,
405,"Mortierella elongata MPI-CAGE-AA-0104 v1.0",Morel_U14_1,310910,50910406,14234,Y,N,N,,,
406,"Phellinus igniarius CCBS 575 v1.0",Pheign1_1,40472,49445347,11210,Y,N,N,,,
407,"Herpotrichia sp. AK1299 v1.0",Herpot1_1,1907527,52395805,15663,Y,N,N,,,
408,"Lasiosphaeriaceae sp. AZ0830 v1.0",Bombar1,2184036,49085029,15812,Y,N,N,,,
409,"Leptodontidium orchidicola MPI-SDFR-AT-0119 v2.0",Lepor2,75374,77016911,21254,Y,N,N,,,
410,"Leotiomycetes sp. MPI-SDFR-AT-0126 v1.0",Phimu1,1709938,54044039,17024,Y,N,N,,,
411,"Psilocybe cubensis v1.0",Psicub1_1,181762,41302601,13361,Y,Y,N,,"Fricke J et al.,2017","28763571"
412,"Boeremia exigua MPI-SDFR-AT-0100 v1.0",Boeex1,749465,35322113,12871,Y,N,N,,,
413,"Rhexocercosporidium sp. MPI-PUGE-AT-0058 v1.0",Rhesp1,2042821,62745254,16722,Y,N,N,,,
414,"Caecomyces churrovis A v1.0",Caecom1,2019372,165495782,15009,Y,N,N,,,
415,"Paecilomyces niveus CO7 v1.0",Bysni1,5093,36022454,10584,Y,Y,N,,"Biango-Daniels MN et al.,2018","29930063"
416,"Talaromyces borbonicus CBS 141340 ",Talabor1,5094,27050413,9744,Y,Y,N,,"Varriale S et al.,2018","29843575"
417,"Mycena floridula CBHHK072 v1.0",Mycflo1,1033242,118533562,29475,Y,N,N,,,
418,"Mycena amicta BAPX v1.0",Mycami1,380012,81431410,25102,Y,N,N,,,
419,"Mycena rebaudengoi CBHHK068 v1.0",Mycreb1,1045383,218590756,52308,Y,N,N,,,
420,"Mycena filopes CBHHK001 v1.0",Mycfil1,858877,112004863,29152,Y,N,N,,,
421,"Suillus cothurnatus VC 1858 v1.0",Suicot1,48568,94611779,19836,Y,N,N,,,
422,"Lentinula afn. lateritia sp2 HRB7682 ss15 v1.0",Lenafn1,40482,44793336,13891,Y,N,N,,,
423,"Lentinula edodes Le(Bin) 0899 ss11 v1.0",Lenedo1,5353,45594472,14079,Y,N,N,,,
424,"Lentinula raphanica INPA1701G ss19 v1.0",Lenrap1,153919,49067377,16189,Y,N,N,,,
425,"Lentinula lateritia RHP3577 ss4 v1.0",Lenlat1,40482,45430989,13354,Y,N,N,,,
426,"Plectosphaerella cucumerina RP01 v1.0",Plecuc1,40658,36520717,12956,Y,N,N,,,
427,"Gelasinospora tetrasperma v1.0",Gelte1,94610,43856413,11251,Y,N,N,,,
428,"Sordaria brevicollis FGSC1904 v1.0",Sorbr1,83679,53085477,10927,Y,N,N,,,
429,"Cercophora scortea SMH4131-1 v1.0",Cersc1,314031,40165273,11779,Y,N,N,,,
430,"Aspergillus sclerotiorum CBS 549.65 v1.0",Aspsc1,138282,37971091,12620,Y,N,N,,,
431,"Aspergillus unguis CBS132.55 v1.0",Aspung1,40381,26060700,10397,Y,N,N,,,
432,"Aspergillus restrictus CBS 118.33 v1.0",Aspres1,5064,23256008,9143,Y,N,N,,,
433,"Aspergillus triticus CBS266.81 v1.0",Asptr1,478866,27452540,9769,Y,N,N,,,
434,"Aspergillus venezuelensis CBS 868.97 v1.0",Aspven1,1810929,34837464,12450,Y,N,N,,,
435,"Aspergillus neoechinulatus CBS120.55 v1.0",Aspne1,2184044,30669358,10504,Y,N,N,,,
436,"Aspergillus amylovorus CBS 600.67 v1.0",Aspamy1,176161,34894441,12857,Y,N,N,,,
437,"Aspergillus welwitschiae CBS139.54b v1.0",Aspwel1,1341132,37511876,13687,Y,Y,N,,"Vesth TC et al.,2018","30349117"
438,"Aspergillus roseoglobulosus CBS112800 v1.0",Aspros1,1250373,35815337,12489,Y,N,N,,,
439,"Aspergillus neoauricomus CBS112787 v1.0",Aspneoa1,1883083,36859054,12221,Y,N,N,,,
440,"Aspergillus insolitus CBS 384.61 v1.0",Aspinso1,1131488,23177606,8834,Y,N,N,,,
441,"Aspergillus chevalieri CBS 522.65 v1.0",Aspchev1,182096,26413841,10253,Y,N,N,,,
442,"Aspergillus bisporus CBS 707.71 v1.0",Aspbisp1,41753,27095172,9731,Y,N,N,,,
443,"Aspergillus parvulus CBS 136.61 v1.0",Aspparv1,41750,32731898,11927,Y,N,N,,,
444,"Aspergillus stercoraria CBS 428.93 v1.0",Aspstec1_1,1883081,29263932,10324,Y,N,N,,,
445,"Aspergillus filifera CBS 114510 v1.0",Aspfili1,447248,31484740,11686,Y,N,N,,,
446,"Aspergillus brevijanus CBS 111.46 v1.0",Aspbrev1,176172,36004448,12832,Y,N,N,,,
447,"Aspergillus penicilloides CBS 540.65 v1.0",Asppeni1,41959,26403364,10386,Y,N,N,,,
448,"Aspergillus multicolor v1.0",Aspmul1_1,41759,35254497,12821,Y,N,N,,,
449,"Aspergillus olivicola v1.0",Aspoli1_1,1250372,33173879,12183,Y,N,N,,,
450,"Aspergillus desertorum CBS 653.73 v1.0",Aspdese1,1810909,29041708,10111,Y,N,N,,,
451,"Aspergillus undulatus CBS 261.88 v1.0",Aspund1_1,1810928,32112944,11802,Y,N,N,,,
452,"Aspergillus funiculosus CBS 116.56 v1.0",Aspfuni1,176168,25445165,9300,Y,N,N,,,
453,"Aspergillus recurvatus v1.0",Asprec1_1,41761,30717846,11007,Y,N,N,,,
454,"Aspergillus robustus CBS 428.77 v1.0",Asprobu1,138281,33138998,12182,Y,N,N,,,
455,"Aspergillus stella-maris CBS 113639 v1.0",Aspstel1_1,1810926,33998249,12537,Y,N,N,,,
456,"Aspergillus acristatulus CBS 119.55 v1.0",Aspacri1,286159,32593788,11221,Y,N,N,,,
457,"Aspergillus indicus v2.0",Aspind2_1,138288,32492420,11361,Y,N,N,,,
458,"Crassisporium funariophilum DOB1098 v1.0",Crafun1,1954473,37117181,13637,Y,N,N,,,
459,"Abortiporus biennis CCBS 521 v1.0",Abobi1,137743,45165060,11987,Y,N,N,,,
460,"Fomitopsis betulina CIRM-BRFM 1772 v1.1",Pipbet1_1,40450,42863829,12070,Y,N,N,,,
461,"Amylocystis lapponica SKaAmylap13 v1.0",Amylap1_1,202700,35500685,11559,Y,N,N,,,
462,"Rozella allomycis CSF55 single-cell v1.0",Rozal_SC1,281847,13461086,6694,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
463,"Blyttiomyces helicus single-cell v1.0",Blyhe1,388810,46472760,12167,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
464,"Thamnocephalis sphaerospora RSA 1356 single-cell v1.0",Thasp1,78915,18203817,6857,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
465,"Metschnikowia bicuspidata single-cell v1.0",Metbi_SCcomb,27322,10953298,4778,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
466,"Caulochytrium protostelioides ATCC 52028 v1.0",Caupr1,1555241,21796879,6168,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
467,"Dimargaris cristalligena RSA 468 single-cell v1.0",DimcrSC1,215637,30776575,7456,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
468,"Piptocephalis cylindrospora RSA 2659 single-cell v3.0",Pipcy3_1,1907219,10748607,4301,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
469,"Caulochytrium protostelioides ATCC 52028 single-cell v1.0",Caupr_SCcomb,1555241,10621701,3328,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
470,"Syncephalis pseudoplumigaleata Benny S71-1 single-cell v1.0",Synps1,1712513,16269185,6123,Y,Y,N,,"Ahrendt SR et al.,2018","30297742"
471,"Podospora anserina mat+ v1.0",Podans1,5145,35544363,11692,Y,N,N,,,
472,"Earliella scabrosa CIRM-BRFM 1817 v1.0",Earsca1,2478900,51673276,17744,Y,N,N,,,
473,"Rhodofomes roseus CIRM-BRFM 1785 v1.0",Fomros1,34475,38369625,12986,Y,N,N,,,
474,"Obelidium mucronatum JEL802 v1.0",Obemuc1,110081,49458483,15468,Y,N,N,,,
475,"Aspergillus candidus CBS 102.13 v1.0",Aspcand1,41067,27317772,9641,Y,Y,N,,"Kjaerbolling I et al.,2018","29317534"
476,"Aspergillus taichungensis IBT 19404 v1.0",Asptaic1,482145,27121736,9692,Y,Y,N,,"Kjaerbolling I et al.,2018","29317534"
477,"Exobasidium maculosum A7-4 v1.0",Exomac1,1493668,22223690,10185,Y,N,N,,,
478,"Umbelopsis isabellina AD026 v1.0",Umbisa1,91625,21826060,9193,Y,N,N,,,
479,"Serendipita sp. 407 v1.0",Serend1,2136033,40693196,10738,Y,N,N,,,
480,"Cryptodiaporthe sp. AZ0812 v1.0",Crypto1,1907526,41659411,12727,Y,N,N,,,
481,"Cytospora chrysosperma CFL2056 v1.0",Cytch1,252740,36553556,10847,Y,N,N,,,
482,"Mycena sanguinolenta CBHHK176m v1.0",Mycsan1,230812,115408990,34875,Y,N,N,,,
483,"Mycena vitilis CBHHK169m v1.0",Mycvit1,1033281,83665095,27952,Y,N,N,,,
484,"Mycena alexandri CBHHK200 v1.0",Mycale1,1745969,132306732,32245,Y,N,N,,,
485,"Mycena crocata CBHHK184 v1.0",Myccro1,220801,93990387,30221,Y,N,N,,,
486,"Mycena belliae CBHHK173m v1.0",Mycbel1,1033014,56444626,18074,Y,N,N,,,
487,"Ustilago maydis 521 v2.0",Ustma2_2,237631,19664388,6785,Y,Y,N,,"Kamper J et al.,2006","17080091"
488,"Oliveonia pauxilla MPI-PUGE-AT-0066 v1.0",Olipa1,1026881,47727729,14601,Y,N,N,,,
489,"Paecilomyces variotii CBS 101075 v1.0",Paevar1,264951,30105809,9270,Y,Y,N,,"Urquhart AS et al.,2018","30619145"
490,"Penicillium swiecickii 182 6C1 v1.0",Penswi1,2136024,34125416,12802,Y,N,N,,,
491,"Paraphoma chrysanthemicola MPI-GEGE-AT-0034 v1.0",Parch1,798071,40663325,15089,Y,N,N,,,
492,"Fusarium oxysporum MPI-SDFR-AT-0094 v1.0",Fusoxy1,5507,52242347,17445,Y,N,N,,,
493,"Achaetomium strumarium CBS333.67 v1.0",Achstr1,79814,32422668,10185,Y,N,N,,,
494,"Lasiosphaeria ovina CBS 958.72 v1.0",Lasov1,92902,51771160,14921,Y,N,N,,,
495,"Podospora didyma CBS 232.78 v1.0",Poddi1,330526,48328886,14870,Y,N,N,,,
496,"Apodospora peruviana CBS 118394 v1.0",Apope1,516989,42017045,13445,Y,N,N,,,
497,"Trametes polyzona CIRM-BRFM 1798 v1.0",Trapol1,239206,34431392,12346,Y,N,N,,,
498,"Trametes betulina CIRM-BRFM 1801 v1.0",Trabet1,5632,37474905,13239,Y,N,N,,,
499,"Leiotrametes menziesii CIRM-BRFM 1781 v1.0",Tramen1,2136021,35218293,12529,Y,N,N,,,
500,"Neurospora hispaniola FGSC 10403 v1.0",Neuhi1,588809,40807401,10446,Y,N,N,,,
501,"Mycena epipterygia CBHHK145m v1.0",Mycepi1,230806,118648059,37563,Y,N,N,,,
502,"Paraphysoderma sedebokerense JEL821 v1.0",Parsed1,1500003,27876074,10859,Y,N,N,,,
503,"Polyporus squamosus CCBS 676 v1.0",Polsqu1,5640,55468683,15283,Y,N,N,,,
504,"Podospora anserina S mat+",Podan3,515849,35010595,10588,Y,Y,N,,"Espagne E et al.,2008","18460219"
505,"Trametes maxima CIRM-BRFM 1813 v1.0",Tramax1,259368,36566397,12468,Y,N,N,,,
506,"Setosphaeria turcica NY001 v2.0",Settur3,93612,38422090,12547,Y,N,N,,,
507,"Setosphaeria turcica Et28A v2.0",Settu3,93612,43014577,12028,Y,Y,N,,"Ohm RA et al.,2012~Condon BJ et al.,2013","23236275 23357949"
508,"Suillus subaureus MN1 v1.0",Suisub1,48587,57660940,15740,Y,N,N,,,
509,"Tulasnella calospora UAMH 9824 v1.0",Tulcal1,156515,70372952,17081,Y,N,N,,,
