"","species","genect","genelen_mean","genelen_sd","intronlen_mean","intronlen_sd","intronct_mean","intronct_sd","exonlen_mean","exonlen_sd","genome_size","contig_count"
"Chafi1","Chafi1",11448,"1747.064","1211.209","92.991","110.094","1.923","1.966","597.687","702.630",35321551,24
"Chagl_1","Chagl_1",11124,"1481.163","1246.908","143.094","152.999","2.121","1.868","474.511","613.180",34886939,37
"Chain1","Chain1",11496,"1556.700","1189.635","109.464","127.299","2.080","2.170","505.460","680.350",37690963,706
"CodFL1790_1","CodFL1790_1",15615,"1650.963","1117.717","83.779","100.274","2.015","2.075","547.527","658.582",49247973,51
"Chalo1","Chalo1",19765,"1483.438","1012.842","78.880","131.407","2.060","2.079","484.711","562.084",52432785,54
"Chiap1","Chiap1",9875,"1116.185","906.241","55.280","58.781","3.979","3.454","224.186","276.808",21830827,398
"Chicu1","Chicu1",7187,"1494.532","965.093","50.582","24.278","5.168","3.715","242.285","292.744",14160267,19
"Chocucu1","Chocucu1",11534,"1344.454","1028.907","77.292","87.358","3.074","2.870","329.998","421.139",35108735,600
"Chove1","Chove1",17986,"1109.481","927.439","109.048","455.410","1.835","2.552","391.308","429.134",126035033,1176
"Chylag1","Chylag1",14275,"1269.645","907.191","82.195","88.918","4.456","4.493","232.695","253.942",42380874,446
"Chyhya1","Chyhya1",15516,"1525.139","1116.772","75.768","55.675","3.542","3.614","335.779","371.952",38103441,294
"Chytri1","Chytri1",16053,"1350.966","1009.601","75.061","74.746","2.921","3.170","344.534","368.318",36383760,2073
"Cirumb1","Cirumb1",14693,"1337.115","1018.433","116.684","95.301","3.660","3.510","286.923","360.948",51270100,313
"Citma1","Citma1",7868,"1151.019","937.406","293.065","579.728","0.290","0.623","892.502","883.723",20321446,3451
"Clapol1_1","Clapol1_1",16599,"1586.818","1163.298","99.507","109.222","3.717","4.097","336.372","417.428",81192468,943
"Clagr3","Clagr3",11389,"1651.011","1203.778","76.791","105.595","2.032","1.884","544.599","657.683",34622149,414
"Claba1","Claba1",12762,"1429.942","985.705","80.845","96.496","1.396","1.691","596.818","757.288",36722552,60
"Claca1","Claca1",10373,"1472.037","1021.403","74.037","64.703","1.227","1.503","660.929","824.441",28991111,19
"Claim1","Claim1",14033,"1996.402","1162.875","84.568","108.945","1.629","1.836","759.475","874.389",43029152,277
"Claps1","Claps1",13421,"1409.500","959.615","72.942","52.768","1.355","1.657","598.636","748.272",39420127,123
"Claye1","Claye1",10118,"1459.702","1010.898","71.304","55.774","1.183","1.441","668.535","831.142",27898422,8
"Clabul1","Clabul1",12786,"1567.568","1139.338","114.510","154.028","1.486","1.592","630.618","744.617",39735607,20
"Clafu1","Clafu1",14127,"1295.443","1051.553","102.197","180.168","1.176","1.417","595.339","754.989",61113266,4865
"Clasph1","Clasph1",8807,"1508.489","1088.539","107.471","263.613","1.309","1.415","653.288","828.545",26690478,117
"Clael1","Clael1",13617,"1467.972","1127.492","84.793","117.074","1.557","1.647","574.061","664.861",37388950,617
"Clapy1","Clapy1",15130,"1390.005","969.114","64.721","110.174","4.673","4.686","245.034","292.590",37987417,477
"Clalu1_2","Clalu1_2",5936,"1389.206","965.789","171.267","134.540","0.003","0.050","1385.705","966.861",12114892,9
"ClaPMI390","ClaPMI390",15452,"1405.009","957.703","85.086","153.760","4.423","4.587","259.081","330.753",41635769,683
"Clibor1","Clibor1",13061,"1421.876","970.432","69.330","61.885","5.449","4.887","220.481","258.981",51880721,677
"Cligib1","Cligib1",18550,"1246.085","858.709","65.075","73.207","5.091","4.843","204.567","235.877",65973163,1258
"Cloaq1","Cloaq1",15810,"1452.935","1080.638","83.825","108.535","1.820","1.888","515.158","634.854",49677730,761
"Cloro1","Cloro1",18639,"1395.132","1305.397","83.465","99.875","1.799","1.983","498.435","726.697",52435476,74
"Cocim1","Cocim1",9910,"1681.578","1226.970","88.427","65.901","2.260","1.991","515.863","659.163",28947925,6
"Cocba1","Cocba1",9532,"1383.330","1135.825","115.713","150.059","1.114","1.406","654.485","876.901",28268635,79
"Cocst1","Cocst1",11537,"1602.882","1111.826","91.197","94.574","2.043","1.954","526.685","631.696",32666196,509
"Cocca1","Cocca1",12857,"1286.076","1105.294","85.458","125.144","1.548","1.649","504.641","655.185",31267936,844
"CocheC4_1","CocheC4_1",12720,"1413.120","1084.398","94.536","213.897","1.670","1.657","529.296","636.796",32929167,207
"CocheC5_3","CocheC5_3",13336,"1422.838","1066.454","94.907","221.589","1.657","1.615","535.456","637.660",36456735,68
"Coclu2","Coclu2",12131,"1397.361","1093.684","87.632","152.239","1.604","1.657","536.589","656.087",31171894,171
"Cocmi1","Cocmi1",12007,"1338.724","1065.256","85.547","138.258","1.645","1.652","506.126","647.934",31362097,619
"Cocsa1","Cocsa1",12250,"1545.261","1124.850","89.467","305.247","1.631","1.681","587.251","689.119",34417436,157
"Cocvi1","Cocvi1",12894,"1295.928","1069.448","85.789","134.092","1.586","1.664","501.055","637.721",32829575,676
"Coemoj1","Coemoj1",6859,"1552.158","1130.100","137.308","180.585","0.503","0.982","1032.514","1037.003",14291446,55
"Coere1","Coere1",7347,"1331.997","1074.161","229.065","341.097","0.515","0.976","879.341","931.791",21838014,346
"Coespi1","Coespi1",7247,"1516.608","1221.459","183.187","229.764","0.571","1.705","965.296","1028.014",18931979,34
"Cokrec1","Cokrec1",10916,"1352.815","1037.495","86.341","77.004","3.202","2.963","321.918","418.743",28120762,85
"Colab1","Colab1",17280,"1290.249","1086.488","101.540","228.037","1.657","1.860","485.688","636.887",53936108,560
"Colac2","Colac2",15036,"1501.076","997.522","94.178","122.238","1.810","1.888","534.256","629.994",49057477,389
"Colca1","Colca1",15294,"1451.679","1122.257","91.927","99.778","1.613","1.847","555.508","677.442",44202764,1257
"Colce1","Colce1",16412,"1396.088","1053.761","97.165","122.867","1.600","1.844","537.035","647.844",52150039,1509
"Colch1","Colch1",10310,"1497.010","1140.808","89.899","176.503","1.891","1.817","517.838","699.297",52387045,558
"Colco1","Colco1",17126,"1280.657","1088.172","101.175","209.091","1.659","1.857","481.610","637.196",51625248,70
"Colcu1","Colcu1",17289,"1267.316","1081.291","87.716","360.391","2.637","7.173","348.485","559.859",80453496,325
"Coler1","Coler1",15169,"1515.495","1105.125","89.579","99.285","1.729","2.727","555.252","659.381",47210890,403
"Colfa1","Colfa1",15619,"1443.654","1122.687","93.391","105.785","1.563","1.860","563.246","688.163",49085377,1162
"Colfi1","Colfi1",13759,"1489.307","1100.124","95.658","127.639","1.914","1.938","511.134","659.161",49002765,1096
"Colgo1","Colgo1",16071,"1483.507","1005.126","84.389","94.288","1.774","1.904","534.837","628.376",51652851,194
"Colgr1","Colgr1",12006,"1399.110","1140.607","84.159","74.347","1.746","1.811","509.531","685.367",51604658,653
"Colhig2","Colhig2",14651,"1406.875","1208.744","91.815","92.412","1.731","1.787","515.162","704.833",50716103,25
"Colin1","Colin1",11852,"1449.120","1187.046","83.747","150.511","1.873","1.827","504.315","692.314",53254579,1036
"Collu1","Collu1",15365,"1488.485","1016.772","98.451","136.750","1.803","1.893","531.120","624.787",58756634,116
"Collup1","Collup1",18324,"1386.606","1238.131","112.167","384.995","3.154","4.167","333.760","521.587",63407421,11
"Colme1","Colme1",16823,"1305.255","1103.325","95.756","217.599","1.642","1.874","494.011","646.479",50135825,92
"Colna1","Colna1",14682,"1442.839","1115.859","98.346","125.106","1.681","2.053","538.151","667.918",52436969,703
"Colny1","Colny1",14404,"1441.257","1076.784","92.404","138.506","1.821","1.935","510.974","653.478",49956273,1884
"Colorb1","Colorb1",13348,"1416.484","1123.929","99.192","119.734","2.023","2.611","468.569","641.245",90086138,3370
"Color1","Color1",14496,"1323.479","1130.463","100.821","189.587","1.688","1.839","492.306","650.353",48556462,321
"Colpa1","Colpa1",16775,"1307.411","1101.885","92.971","152.942","1.651","1.864","493.182","647.624",49177916,36
"Colph1","Colph1",15209,"1479.117","1044.980","88.240","102.450","1.800","1.917","528.259","627.093",51666170,71
"Colsa1","Colsa1",13783,"1426.566","1079.501","101.115","129.806","1.905","1.941","491.019","631.768",48373413,2776
"Colsi1","Colsi1",13884,"1498.735","1157.587","95.548","129.803","1.932","1.958","511.176","666.690",50474234,929
"Colso1","Colso1",15193,"1486.380","1114.754","93.812","112.888","1.615","1.821","568.487","684.856",53667270,1012
"Colsp1","Colsp1",17391,"1246.070","1082.081","120.194","443.186","1.600","1.833","479.338","635.177",62965231,367
"Colsu1","Colsu1",15208,"1471.459","1130.432","94.137","120.963","1.578","1.811","570.880","668.867",46916122,1434
"Colta1","Colta1",17399,"1260.700","1084.491","101.532","221.294","1.615","1.841","482.139","639.322",52077224,604
"Colto1","Colto1",12501,"1639.208","1209.433","85.616","162.763","1.866","1.796","572.044","713.304",52836184,1046
"Coltof1","Coltof1",16451,"1319.938","1141.438","106.652","182.279","1.761","1.849","478.057","639.863",52962735,1300
"Colzo1","Colzo1",15326,"1491.256","1083.287","92.344","104.308","1.670","2.004","558.597","657.257",46533813,617
"Conco1","Conco1",10635,"1114.085","840.666","85.746","269.404","1.777","2.554","401.215","551.174",39903661,1050
"Conth1","Conth1",8867,"1218.873","904.675","63.767","83.308","2.727","3.444","327.071","487.090",24635576,799
"Pilidi1","Pilidi1",11317,"1537.597","1093.036","115.473","125.618","1.565","1.624","599.476","701.046",36564510,634
"Conli1","Conli1",12318,"1497.949","1151.674","121.180","148.272","1.982","2.039","502.279","665.411",43695863,1566
"Conlig1","Conlig1",13657,"1548.877","1066.258","101.774","327.184","1.652","1.773","584.079","688.062",42382780,135
"Conioc1","Conioc1",24735,"1651.802","1098.174","98.483","143.371","1.727","1.702","605.814","710.032",74351065,95
"ConPMI546","ConPMI546",11346,"1655.491","1156.915","94.171","185.213","1.670","1.711","619.990","762.255",33513814,37
"Conol1","Conol1",14928,"1439.878","1016.230","68.481","60.358","4.794","4.470","248.511","306.131",39071688,863
"Conpu1","Conpu1",13761,"1517.634","1088.399","76.754","181.939","5.115","4.662","248.195","312.895",42968544,210
"Conap1","Conap1",9308,"1449.002","1092.417","81.081","93.863","1.825","1.777","512.903","652.026",28645321,169
"Conapa1","Conapa1",15379,"1446.657","941.950","71.613","69.343","5.050","4.700","239.130","280.862",64080092,2441
"Copang1","Copang1",24746,"1437.030","955.346","75.886","96.257","4.469","4.279","262.747","324.220",93565539,517
"Copmic2","Copmic2",23559,"1152.471","943.066","75.337","88.913","3.700","4.016","245.218","302.177",77386123,704
"Coppel1","Coppel1",16047,"1395.806","1005.371","71.139","71.423","4.025","4.105","277.745","337.364",41561493,1355
"Copci_AmutBmut1","Copci_AmutBmut1",14245,"1435.208","1055.293","70.933","82.246","4.407","4.234","265.448","334.754",34118803,944
"Copci1","Copci1",13393,"1426.821","1058.067","72.153","61.387","4.659","4.242","252.116","331.195",36294355,94
"Copmar1","Copmar1",14632,"1285.521","1016.656","66.616","67.391","4.523","4.554","232.765","311.549",38912666,817
"Copscl1","Copscl1",12039,"1535.133","1057.270","67.240","55.944","4.526","4.196","277.796","344.061",30495150,249
"Cormi1","Cormi1",9651,"1517.396","1135.831","113.288","190.007","1.992","2.178","507.218","718.665",32268578,32
"Corma2","Corma2",12991,"1246.996","1056.444","101.716","111.222","1.514","1.764","495.950","632.263",36970979,866
"Corcam1","Corcam1",17407,"1351.383","976.610","69.455","85.997","4.898","4.768","229.122","284.478",76968950,1204
"Corgl3","Corgl3",20377,"1184.234","962.100","81.493","278.702","4.049","4.488","234.567","283.885",63450306,769
"Corca1","Corca1",17166,"1479.926","1030.467","81.620","192.345","1.595","1.754","570.194","642.019",44846156,244
"Crafun1","Crafun1",13637,"1440.461","1013.180","64.710","57.909","4.990","4.846","240.477","299.295",37117181,41
"Creces1","Creces1",12891,"1555.565","1001.810","63.609","58.389","5.063","4.490","256.567","315.384",36042615,235
"Crevar1","Crevar1",14573,"1456.739","1011.661","62.569","54.955","4.655","4.500","257.584","317.360",38577924,435
"Crison1","Crison1",11356,"1625.464","1013.461","64.171","48.856","5.504","4.649","249.933","297.824",30130434,114
"Croqu1","Croqu1",13903,"1161.201","1013.540","112.538","236.085","3.355","3.670","266.648","324.324",76567842,1198
"Crula1","Crula1",14218,"1402.173","1017.036","65.542","66.772","5.035","4.973","232.358","291.572",44728771,574
"Crypa2","Crypa2",11609,"1418.062","1043.838","120.599","365.837","1.911","1.801","487.079","586.650",43870411,26
"Crycu1","Crycu1",8661,"1346.332","1054.294","69.010","81.840","2.620","2.623","371.865","518.829",19908169,16
"Cryne_JEC21_1","Cryne_JEC21_1",6475,"1798.325","1134.574","68.768","59.833","5.470","3.879","277.930","334.322",19051922,14
"Cryne_H99_1","Cryne_H99_1",6967,"1602.667","1126.521","68.605","52.064","5.069","3.828","264.066","328.907",18874889,14
"Cryte1","Cryte1",8560,"1387.605","1073.633","86.760","85.725","5.369","4.840","217.855","288.766",23185503,156
"Cryvi1","Cryvi1",7232,"1623.681","1147.459","71.724","72.695","5.248","4.336","259.869","331.980",19691496,50
"Crywi1","Crywi1",7467,"1666.348","1105.889","70.937","39.301","5.316","4.340","263.833","335.345",19655301,108
"Crypo1","Crypo1",13681,"1451.613","1103.140","102.112","130.739","1.587","1.660","561.210","669.195",56940664,894
"Crypto1","Crypto1",12727,"1716.918","1079.634","94.004","97.736","1.867","1.810","598.762","680.457",41659411,76
"Cucbe1","Cucbe1",12439,"1566.562","1085.001","85.002","296.963","1.713","1.811","577.342","664.360",32905402,42
"Cunech1","Cunech1",10443,"1414.764","1064.303","123.155","66.911","3.662","3.590","303.494","393.188",29002410,2567
"Cyastr2","Cyastr2",23513,"1142.864","855.554","71.657","91.017","4.486","4.526","208.311","245.167",91180015,1562
"Cybja1","Cybja1",6038,"1452.128","997.012","166.255","450.000","0.346","0.805","1079.132","996.763",13018415,76
"Cylto1","Cylto1",13940,"1418.348","954.396","56.696","50.900","4.169","3.889","274.387","309.783",31574086,1149
"Cylol1","Cylol1",16645,"1610.401","1081.131","79.659","100.384","1.890","2.016","557.152","649.871",52862545,227
"Cypeu1","Cypeu1",11094,"1464.076","1025.030","68.446","66.095","1.053","1.339","713.265","867.674",28781303,19
"Rhomi1","Rhomi1",7814,"1697.647","1144.286","82.068","59.981","4.614","3.538","302.414","381.881",20824934,38
"Cysmur1","Cysmur1",13196,"1442.722","958.415","64.839","58.906","4.713","4.331","252.522","301.008",32382358,24
"Cytmel1","Cytmel1",13046,"1372.407","988.806","66.997","59.026","4.820","4.466","235.823","275.229",50894641,941
"Cytch1","Cytch1",10847,"1692.264","1098.903","109.595","136.338","1.890","1.699","585.649","656.487",36553556,100
"Dactor1","Dactor1",12386,"1580.788","974.962","62.530","57.435","4.357","4.066","295.088","359.515",35180536,58
"Dacsp1","Dacsp1",10242,"1394.611","1020.430","70.410","338.891","3.833","3.761","288.558","347.921",29503487,99
"Daces1","Daces1",19198,"1578.246","1212.841","84.715","110.169","1.908","2.028","542.694","683.689",64663708,115
"Dacma1","Dacma1",21304,"1563.798","1093.894","84.330","107.755","1.939","2.094","532.064","622.279",77328613,87
"Daequ1","Daequ1",12199,"1432.578","1005.503","67.448","100.650","4.802","4.613","246.931","296.240",32736329,357
"DalEC12_1","DalEC12_1",11173,"1637.841","1087.372","91.781","179.778","1.886","1.860","567.606","670.753",37551009,398
"Debha1","Debha1",6272,"1439.899","1077.677","132.032","124.645","0.074","0.300","1340.116","1096.586",12152486,7
"Decga1","Decga1",11835,"1338.591","1081.590","81.626","100.842","1.533","1.661","528.532","661.702",30559368,699
"Dekbr2","Dekbr2",5636,"1428.645","1040.231","269.931","504.516","0.360","0.728","1050.606","918.022",13385232,84
"Delco1","Delco1",10171,"1603.344","1131.518","84.344","118.421","1.928","1.767","547.547","653.601",31159062,764
"Delst1","Delst1",10337,"1554.138","1044.267","77.351","85.216","1.712","1.642","573.018","704.645",29209081,17
"Denbi1","Denbi1",33645,"1162.075","910.282","96.472","351.578","4.087","4.289","228.423","289.597",130650616,3942
"Denmi1","Denmi1",17356,"1506.181","965.133","59.911","56.330","5.362","4.806","236.746","294.979",45655992,971
"Denna1","Denna1",13889,"1650.800","1111.777","80.048","96.166","1.857","1.771","577.793","675.778",41131413,59
"Densp1","Densp1",14320,"1216.091","937.099","66.689","65.577","4.264","4.578","231.022","289.128",36706823,425
"Diaam1","Diaam1",10704,"1326.931","951.055","116.952","102.979","1.784","1.690","476.579","591.968",47325858,2383
"Dicsqu463_1","Dicsqu463_1",14946,"1370.395","984.234","74.420","80.593","4.300","4.276","258.555","307.790",36868345,1259
"Dicsqu464_1","Dicsqu464_1",15295,"1358.285","987.018","75.205","86.407","4.249","4.273","258.794","308.215",39597219,467
"Dicsq1","Dicsq1",12290,"1483.907","1119.840","83.841","244.742","4.842","4.632","254.014","315.632",42748430,542
"Dicsqu18370_1","Dicsqu18370_1",14950,"1365.474","985.006","75.559","89.164","4.342","4.299","255.630","304.066",39319619,439
"Dicele1","Dicele1",12396,"1345.090","1013.921","84.255","77.742","3.674","3.575","287.766","354.169",39778020,185
"Didex1","Didex1",12394,"1474.671","1048.654","96.077","300.955","1.455","1.466","600.567","685.430",34389227,176
"Didma1","Didma1",11614,"1562.877","1205.368","88.998","93.423","1.952","2.080","529.407","671.295",32598614,2072
"Didsa1","Didsa1",13361,"1430.477","1080.686","84.925","107.796","2.022","1.978","473.412","540.820",45143804,809
"DimcrSC1","DimcrSC1",7456,"1136.142","1013.638","231.992","183.772","1.494","1.897","455.606","640.814",30776575,2235
"Diocr1","Diocr1",15948,"1414.631","990.191","58.706","73.838","4.357","3.994","264.085","307.582",39520995,865
"Dipse1","Dipse1",9343,"1321.022","915.207","120.283","140.421","2.102","1.799","425.846","555.803",37120944,694
"Disac1","Disac1",10299,"1529.938","1088.518","99.570","158.227","1.167","1.435","705.983","837.356",26537235,54
"Disorn1","Disorn1",12584,"1596.328","1134.478","141.330","130.703","2.661","2.740","435.979","528.759",38942631,2577
"Dotsy1","Dotsy1",11790,"1554.478","1086.622","86.368","265.312","1.705","1.690","574.667","668.798",34433519,59
"Dotse1","Dotse1",12580,"1777.654","1342.205","91.102","223.516","1.300","1.530","772.813","935.844",30209431,20
"Earsca1","Earsca1",17744,"1426.346","925.654","73.677","81.093","4.675","4.500","251.334","299.772",51673276,50
"Echtin1","Echtin1",12508,"1524.087","987.372","66.071","58.895","5.412","4.795","237.691","284.531",40414111,984
"Elsamp1","Elsamp1",10209,"1593.960","1074.495","72.714","89.299","1.357","1.451","676.284","774.403",28270677,161
"Elyde1","Elyde1",12886,"1656.612","1090.617","88.663","99.780","2.239","2.065","511.479","614.002",50483512,353
"Enccu1","Enccu1",1996,"1080.398","810.164","35.800","8.248","0.008","0.092","1072.340","812.218",2497519,11
"Enche1","Enche1",1847,"1074.155","822.895","29.306","9.982","0.019","0.153","1053.619","827.343",2251784,12
"Encin1","Encin1",1833,"1071.591","816.173","30.714","6.256","0.008","0.093","1063.469","818.092",2216898,11
"Encro1","Encro1",1831,"1064.812","824.063","29.273","9.910","0.018","0.149","1045.960","827.870",2187595,13
"EndpusZ1","EndpusZ1",9238,"1591.972","1192.591","112.310","247.427","1.546","1.756","625.362","801.661",37130611,908
"Endsp1","Endsp1",9569,"1543.538","1350.103","121.956","95.937","4.065","4.674","304.733","404.343",95552741,15409
"Entbi1","Entbi1",3632,"719.011","557.683","1.451","0.499","0.000","0.000","719.011","557.683",3860738,1733
"Entma1","Entma1",11498,"1530.523","1072.418","99.865","105.398","1.956","2.016","517.724","623.985",47195832,203
"Enthel1","Enthel1",10118,"1541.366","1271.791","104.354","89.351","3.540","3.979","339.521","443.785",30915201,792
"Epityp1","Epityp1",13759,"1332.398","941.736","82.017","111.002","5.159","4.592","216.320","252.693",56143418,769
"Erebi1","Erebi1",9881,"1329.959","1046.477","78.219","102.547","1.794","1.779","475.997","643.776",26864015,95
"Ashgo1_1","Ashgo1_1",4767,"1470.777","1095.820","101.667","88.208","0.058","0.240","1390.282","1113.126",9095748,7
"Erynec1","Erynec1",6484,"1419.325","1084.690","81.920","88.820","1.690","1.645","527.568","684.828",52505057,5935
"Eryha1","Eryha1",18664,"1327.323","1024.452","64.148","36.327","4.080","3.475","261.306","332.524",40686788,158
"EurotioJF033F_1","EurotioJF033F_1",11344,"1740.139","998.593","68.133","68.027","1.469","1.724","704.778","823.725",28289675,30
"EurotioJF034F_1","EurotioJF034F_1",11358,"1745.666","1003.966","67.113","64.816","1.468","1.716","707.435","828.268",28227525,17
"Eurhe1","Eurhe1",10076,"1556.697","1081.601","78.638","168.947","2.068","2.010","507.319","643.630",26209327,110
"Eutla1","Eutla1",11685,"1296.493","937.942","123.291","109.535","1.908","1.902","445.863","565.882",54005819,2334
"Exigl1","Exigl1",26765,"1244.325","863.562","81.458","390.581","3.827","4.198","257.778","320.685",78171509,1727
"Exomac1","Exomac1",10185,"1658.926","1117.189","71.821","67.076","2.063","2.280","541.526","738.617",22223690,185
"Exova1","Exova1",7453,"1659.896","1150.493","89.979","101.888","1.792","1.792","594.512","809.566",16990195,119
"Exoalc1","Exoalc1",12077,"1599.808","988.118","78.502","84.889","1.456","1.715","651.280","772.192",29813316,51
"Exoalc1_J33","Exoalc1_J33",12081,"1592.935","992.041","77.326","77.462","1.455","1.720","648.894","770.490",29703595,40
"Exode1","Exode1",9562,"2121.670","1434.846","84.455","101.756","1.369","1.572","895.533","1058.871",26350763,10
"Exome1","Exome1",10347,"2078.916","1189.631","76.167","81.453","1.571","1.731","808.728","929.605",29273723,9
"Exool1","Exool1",13234,"1948.823","1165.696","86.338","137.648","1.623","1.770","743.056","867.694",38224514,143
"Exosi1","Exosi1",11120,"1933.068","1113.069","73.763","93.392","1.490","1.649","776.299","894.291",29505589,5
"Exosp1","Exosp1",12049,"1483.281","974.169","79.271","89.384","1.390","1.678","620.600","773.047",32912349,28
"Exoxe1","Exoxe1",13187,"1940.941","1161.571","79.940","102.585","1.630","1.766","738.081","866.103",31405760,15
"Felpe1","Felpe1",8340,"1697.328","1059.676","64.173","37.619","5.140","4.092","276.446","354.075",21049006,22
"Fenfe1","Fenfe1",11804,"1689.140","1193.516","79.104","94.626","1.850","1.778","592.758","717.515",32694302,26
"Fenlin1","Fenlin1",14128,"1350.462","994.418","68.981","69.715","3.688","3.615","288.055","346.234",45897337,236
"Fibra1","Fibra1",9262,"1432.247","1093.974","70.051","120.416","5.489","5.248","220.705","286.161",28378039,861
"Fibin1","Fibin1",8148,"1643.537","1096.481","76.640","48.712","5.097","4.332","269.551","325.503",20291509,31
"Fibsp1","Fibsp1",32946,"1125.258","881.408","94.571","469.618","3.635","3.971","242.791","284.278",95125689,1918
"Fimjon1","Fimjon1",10067,"1690.278","1211.527","89.228","66.979","3.511","3.602","374.662","505.058",30619153,57
"Fishe1","Fishe1",11244,"1230.796","942.411","78.356","167.474","4.722","4.539","215.096","259.920",33847808,588
"FlaPMI526_1","FlaPMI526_1",16824,"1473.331","930.289","59.591","50.902","4.998","4.349","245.618","289.098",72728845,397
"Flafl1","Flafl1",11282,"1618.226","1002.757","66.284","50.228","5.545","4.727","247.238","299.292",31510012,29
"Fomfom1","Fomfom1",14757,"1436.235","946.700","73.349","70.979","4.929","4.574","242.240","291.038",40950972,26
"Fomme1","Fomme1",11333,"1461.065","1116.719","80.883","286.515","5.062","4.760","241.030","318.975",63354420,1412
"Pipbet1_1","Pipbet1_1",12070,"1516.132","1010.301","64.685","64.285","5.028","4.546","251.501","295.239",42863829,251
"Fompi3","Fompi3",13885,"1280.519","962.396","81.419","269.247","4.563","4.511","230.192","276.620",41614358,504
"Fomro1","Fomro1",12672,"1516.901","974.163","67.604","73.931","4.935","4.561","255.570","304.518",34744036,1088
"Fonmo1","Fonmo1",11984,"1528.418","1015.817","100.381","218.644","1.561","1.863","596.728","741.421",35229797,324
"Fonmu1","Fonmu1",12369,"1487.077","978.841","77.736","84.765","1.405","1.699","618.316","773.646",33447075,67
"Fonnu1","Fonnu1",11681,"1536.985","1020.466","98.163","196.172","1.530","1.853","607.564","754.230",33787447,258
"Fusco1","Fusco1",15731,"1644.065","1162.465","82.139","103.935","2.002","2.058","547.604","663.812",48370669,19
"Fuseq1","Fuseq1",13580,"1687.691","1134.891","75.211","91.527","1.816","1.866","599.326","714.384",40328194,15
"Fusfu1","Fusfu1",14813,"1457.125","1077.342","69.243","128.851","1.807","1.866","519.130","660.569",43832314,12
"Fusgr1","Fusgr1",13322,"1430.048","1126.311","83.837","77.097","1.816","1.778","507.813","697.149",36446046,31
"Fusoxys1","Fusoxys1",17726,"1619.664","1094.558","83.536","104.105","1.993","2.122","541.089","653.901",55719217,66
"Fusoxy1","Fusoxy1",17445,"1624.707","1083.542","82.788","101.881","2.011","2.277","539.579","642.523",52242347,128
"Fusox2","Fusox2",27347,"2026.736","1493.680","80.625","105.339","1.965","1.891","683.476","814.336",61357934,114
"FusoxT415","FusoxT415",18001,"1605.846","1083.363","85.692","111.384","2.007","2.107","534.036","634.154",55839562,463
"Fusps1","Fusps1",12395,"1461.829","1218.078","80.138","92.389","1.850","1.925","512.992","702.131",36330246,4
"Fusre1","Fusre1",17051,"1539.415","1089.356","81.154","105.386","1.919","2.079","527.376","647.891",52563400,74
"Fusso1","Fusso1",17656,"1611.723","1103.301","76.794","95.456","1.953","1.992","545.793","651.870",52932111,74
"FusspF10_1","FusspF10_1",12147,"1652.566","1122.540","80.997","101.779","1.847","1.870","580.367","691.207",42448309,22
"FusspF23_1","FusspF23_1",16777,"1625.129","1068.788","75.599","91.355","1.973","2.000","546.717","649.413",50406540,69
"Fustri1","Fustri1",14043,"1723.233","1201.395","74.758","92.475","1.910","2.100","592.106","707.042",42232206,13
"Fustr1","Fustr1",14106,"1670.250","1166.919","77.516","98.087","1.910","1.975","574.017","685.279",43693088,21
"Fusven1","Fusven1",12845,"1714.530","1158.813","75.697","88.833","1.888","2.052","593.680","700.661",37452605,9
"Fusve2","Fusve2",20553,"2153.753","1581.057","76.832","91.515","2.040","1.910","708.529","862.780",41776161,36
"Gaesem1","Gaesem1",8714,"1572.675","1260.168","73.985","53.624","2.731","3.054","421.502","599.272",20918219,77
"Gaegr1","Gaegr1",14655,"1749.233","1373.723","134.240","148.837","1.694","1.663","649.201","814.857",43618147,513
"Galma1","Galma1",21461,"1314.416","969.721","73.340","249.399","4.298","4.650","248.102","317.610",59418196,414
"Galinc1","Galinc1",15855,"1493.619","957.985","71.447","76.018","4.568","4.657","268.249","323.693",51415400,514
"Gansp1","Gansp1",12910,"1406.912","997.184","80.274","117.701","4.823","4.463","241.629","293.218",39522573,156
"Gaumor1_1","Gaumor1_1",20330,"1155.268","883.983","70.930","84.031","4.583","4.546","206.914","239.602",122807766,1220
"Geatri1","Geatri1",14309,"1194.629","906.502","71.496","80.430","5.058","4.631","197.187","245.322",58565933,1666
"Gelte1","Gelte1",11251,"1693.662","1200.545","121.495","168.247","1.648","1.696","639.700","760.711",43856413,23
"Geocar1","Geocar1",11663,"1507.331","1098.497","79.778","125.580","1.895","2.133","520.611","583.297",49454325,116
"Gervar1","Gervar1",9411,"1669.249","1236.796","86.556","58.198","3.313","3.590","386.986","518.621",23695997,231
"Gigro1","Gigro1",31290,"1028.938","858.943","151.881","213.368","2.923","3.544","262.272","323.492",567950182,7526
"Gilper1","Gilper1",10992,"1342.777","1029.239","55.095","44.005","3.029","2.840","333.314","421.738",25732466,125
"Glalo1","Glalo1",13083,"1442.048","1107.448","77.392","89.623","1.968","2.059","485.794","621.625",39509734,22
"Glopol1","Glopol1",11537,"1324.284","1020.556","39.645","63.568","3.612","4.025","287.169","333.678",21646612,1155
"Glocon1","Glocon1",12904,"1415.169","953.155","62.622","53.345","4.710","4.556","247.843","291.771",37988413,654
"Glotr1_1","Glotr1_1",11846,"1425.720","1048.132","73.434","244.648","5.144","4.948","232.034","282.588",37181821,443
