Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Colletotrichum nymphaeae SA-01 (GCA_001563115),Colletotrichum nymphaeae SA-01,SA-01,,Ensembl-Genbank,,,
Colletotrichum orbiculare,Colletotrichum orbiculare,104-T,,Ensembl-Genbank,,,
Colletotrichum orbiculare 104-T,Colletotrichum orbiculare 104-T,104-T,,JGI,,,
Colletotrichum orchidophilum IMI 309357,Colletotrichum orchidophilum IMI 309357,IMI 309357,,JGI,,,
Colletotrichum orchidophilum str. IMI 309357 (GCA_001831195),Colletotrichum orchidophilum str. IMI 309357,IMI 309357,,Ensembl-Genbank,,,
Colletotrichum salicis CBS607.94,Colletotrichum salicis CBS607.94,CBS 607.94,,JGI,,,
Colletotrichum salicis str. CBS 607.94 (GCA_001563125),Colletotrichum salicis str. CBS 607.94,CBS 607.94,,Ensembl-Genbank,,,
Colletotrichum simmondsii CBS122122,Colletotrichum simmondsii CBS122122,CBS 122122,,JGI,,,
Colletotrichum simmondsii str. CBS122122 (GCA_001563135),Colletotrichum simmondsii str. CBS122122,CBS 122122,,Ensembl-Genbank,,,
Colletotrichum sublineola str. TX430BB (GCA_000696135),Colletotrichum sublineola str. TX430BB,TX430BB,,Ensembl-Genbank,,,
Colletotrichum tofieldiae 0861,Colletotrichum tofieldiae 0861,861,,JGI,,,
Colletotrichum tofieldiae str. 0861 (GCA_001625265),Colletotrichum tofieldiae str. 0861,861,,Ensembl-Genbank,,,
Conidiobolus coronatus NRRL 28638 (GCA_001566745),Conidiobolus coronatus NRRL 28638,NRRL 28638,,Ensembl-Genbank,,,
Conidiobolus coronatus NRRL28638 v1.0,Conidiobolus coronatus NRRL28638,NRRL 28638,,JGI,,,
Conidiobolus thromboides FSU 785 v1.0,Conidiobolus thromboides FSU 785,FSU 785,,JGI,,,
Coniella lustricola B22-T-1 v1.0,Coniella lustricola B22-T-1,B22-T-1,,JGI,,,
Coniella lustricola str. B22-T-1 (GCA_003019895),Coniella lustricola str. B22-T-1,B22-T-1,,Ensembl-Genbank,,,
Coniochaeta ligniaria NRRL 30616 (GCA_001879275),Coniochaeta ligniaria NRRL 30616,NRRL 30616,,Ensembl-Genbank,,,
Coniochaeta ligniaria NRRL 30616 v1.0,Coniochaeta ligniaria NRRL 30616,NRRL 30616,,JGI,,,
Coniochaeta sp. PMI_546 v1.0,Coniochaeta sp. PMI_546,PMI_546,,JGI,,,
Coniophora olivacea MUCL 20566 v1.0,Coniophora olivacea MUCL 20566,MUCL 20566,,JGI,,,
Coniophora puteana v1.0,Coniophora puteana,RWD-64-598 SS2,,JGI,,,
Coniophora puteana RWD-64-598 SS2 (GCA_000271625),Coniophora puteana RWD-64-598 SS2,RWD-64-598 SS2,,Ensembl-Genbank,,,
Coniosporium apollinis CBS 100218,Coniosporium apollinis CBS 100218,CBS 100218,,JGI,,,
Coniosporium apollinis CBS 100218 str. CBS 352.97 (GCA_000281105),Coniosporium apollinis CBS 100218 str. CBS 352.97,CBS 100218,,Ensembl-Genbank,,,What is correct strain that listed or  CBS 352.97?
Conocybe apala SZMC-NL-8967 v1.0,Conocybe apala SZMC-NL-8967,SZMC-NL-8967,,JGI,,,
Coprinellus micaceus FP101781 v2.0,Coprinellus micaceus FP101781,FP101781,Basidiomycota,JGI,,,
Coprinopsis cinerea,Coprinopsis cinerea,okayama7#130,Basidiomycota,JGI,,,
Coprinopsis cinerea AmutBmut pab1-1 v1.0,Coprinopsis cinerea AmutBmut pab1-1,AmutBmut pab1-1,Basidiomycota,JGI,,,
Coprinopsis cinerea okayama7#130,Coprinopsis cinerea okayama7#130,okayama7#130,Basidiomycota,FungiDB,,,
Coprinopsis cinerea okayama7#130 (GCA_000182895),Coprinopsis cinerea okayama7#130,okayama7#130,Basidiomycota,Ensembl-Genbank,,,
Coprinopsis marcescibilis CBS121175 v1.0,Coprinopsis marcescibilis CBS121175,CBS 121175,Basidiomycota,JGI,,,
Coprinus phaeopunctatus MPI-PUGE-AT-0042 v1.0,Coprinus phaeopunctatus MPI-PUGE-AT-0042,MPI-PUGE-AT-0042,Basidiomycota,JGI,,,
Cordyceps brongniartii RCEF 3172 (GCA_001636735),Cordyceps brongniartii RCEF 3172,RCEF 3172,Ascomycota,Ensembl-Genbank,,,
Cordyceps confragosa RCEF 1005 (GCA_001636795),Cordyceps confragosa RCEF 1005,RCEF 1005,Ascomycota,Ensembl-Genbank,,,
Cordyceps confragosa str. UM487 (GCA_001653215),Cordyceps confragosa str. UM487,UM487,Ascomycota,Ensembl-Genbank,,,
Cordyceps fumosorosea ARSEF 2679 (GCA_001636725),Cordyceps fumosorosea ARSEF 2679,ARSEF 2679,Ascomycota,Ensembl-Genbank,,,
Cordyceps militaris CM01,Cordyceps militaris CM01,CM01,Ascomycota,JGI,,,
Cordyceps militaris CM01 (GCA_000225605),Cordyceps militaris CM01,CM01,Ascomycota,Ensembl-Genbank,,,
Cordyceps sp. RAO-2017 (GCA_002591385),Cordyceps sp. RAO-2017,RAO-2017,Ascomycota,Ensembl-Genbank,,,
Corollospora maritima CBS 119819 v2.0,Corollospora maritima CBS 119819,CBS 119819,,JGI,,,
Corynespora cassiicola CCP v1.0,Corynespora cassiicola CCP,CCP,,JGI,,,
Corynespora cassiicola Philippines (GCA_003016335),Corynespora cassiicola Philippines,Philippines,,Ensembl-Genbank,,,
Crepidotus cesatii CBS 511.95 v1.0,Crepidotus cesatii CBS 511.95,CBS 511.95,,JGI,,,
Cristinia sonorae KKN 215 v1.0,Cristinia sonorae KKN 215,KKN 215,,JGI,,,
Cronartium quercuum f. sp. fusiforme G11 v1.0,Cronartium quercuum f. sp. fusiforme G11,G11,,JGI,,,
Crucibulum laeve CBS 166.37 v1.0,Crucibulum laeve CBS 166.37,CBS 166.37,,JGI,,,
Crustoderma dryinum OMC1663 v1.0,Crustoderma dryinum OMC1663,OMC1663,,JGI,,,
Cryptococcus amylolentus CBS 6039 (GCA_001720205),Cryptococcus amylolentus CBS 6039,CBS 6039,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus amylolentus CBS 6273 (GCA_001720235),Cryptococcus amylolentus CBS 6273,CBS 6273,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus depauperatus CBS 7841 (GCA_001720195),Cryptococcus depauperatus CBS 7841,CBS 7841,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus depauperatus CBS 7855 (GCA_001720245),Cryptococcus depauperatus CBS 7855,CBS 7855,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus deuterogattii R265,Cryptococcus deuterogattii R265,R265,Basidiomycota,FungiDB,,,
Cryptococcus gattii CA1280 (GCA_000836335),Cryptococcus gattii CA1280,CA1280,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii CA1873,Cryptococcus gattii CA1873,CA1873,Basidiomycota,FungiDB,,,
Cryptococcus gattii CA1873 (GCA_000855695),Cryptococcus gattii CA1873,CA1873,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii E566 (GCA_000875815),Cryptococcus gattii E566,E566,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii EJB2,Cryptococcus gattii EJB2,EJB2,Basidiomycota,FungiDB,,,
Cryptococcus gattii EJB2 (GCA_000835745),Cryptococcus gattii EJB2,EJB2,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii NT-10,Cryptococcus gattii NT-10,NT-10,Basidiomycota,FungiDB,,,
Cryptococcus gattii NT-10 (GCA_000935105),Cryptococcus gattii NT-10,NT-10,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii Ru294 (GCA_000836355),Cryptococcus gattii Ru294,Ru294,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII 2001/935-1 (GCA_000835815),Cryptococcus gattii VGII 2001/935-1,2001/935-1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII 99/473 (GCA_000836455),Cryptococcus gattii VGII 99/473,99/473,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII CA1014 (GCA_000875795),Cryptococcus gattii VGII CA1014,CA1014,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII CBS 10090 (GCA_000835765),Cryptococcus gattii VGII CBS 10090,CBS 10090,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII LA55 (GCA_000836315),Cryptococcus gattii VGII LA55,LA55,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII MMRL2647 (GCA_000875855),Cryptococcus gattii VGII MMRL2647,MMRL2647,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII R265 (GCA_000149475),Cryptococcus gattii VGII R265,R265,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGII Ram5 (GCA_000836375),Cryptococcus gattii VGII Ram5,Ram5,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii VGIV IND107,Cryptococcus gattii VGIV IND107,IND107,Basidiomycota,FungiDB,,,
Cryptococcus gattii VGIV IND107 (GCA_000835755),Cryptococcus gattii VGIV IND107,IND107,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus gattii WM276,Cryptococcus gattii WM276,WM276,Basidiomycota,FungiDB,,,
Cryptococcus gattii WM276 (GCA_000185945),Cryptococcus gattii WM276,WM276,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var neoformans JEC21,Cryptococcus neoformans var neoformans JEC21,JEC21,Basidiomycota,JGI,,,
Cryptococcus neoformans var. grubii 125.91 (GCA_002215885),Cryptococcus neoformans var. grubii 125.91,125.91,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii A1-35-8 (GCA_002221985),Cryptococcus neoformans var. grubii A1-35-8,A1-35-8,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii A2-102-5 (GCA_002222375),Cryptococcus neoformans var. grubii A2-102-5,A2-102-5,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii A5-35-17 (GCA_002222215),Cryptococcus neoformans var. grubii A5-35-17,A5-35-17,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii AD1-7a (GCA_002220445),Cryptococcus neoformans var. grubii AD1-7a,AD1-7a,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii AD1-83a (GCA_002215765),Cryptococcus neoformans var. grubii AD1-83a,AD1-83a,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii AD2-60a (GCA_002215775),Cryptococcus neoformans var. grubii AD2-60a,AD2-60a,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Br795 (GCA_002222225),Cryptococcus neoformans var. grubii Br795,Br795,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Bt1 (GCA_002215705),Cryptococcus neoformans var. grubii Bt1,Bt1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Bt120 (GCA_002222465),Cryptococcus neoformans var. grubii Bt120,Bt120,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Bt15 (GCA_002222335),Cryptococcus neoformans var. grubii Bt15,Bt15,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Bt63 (GCA_002234625),Cryptococcus neoformans var. grubii Bt63,Bt63,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Bt85 (GCA_002215835),Cryptococcus neoformans var. grubii Bt85,Bt85,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii C23 (GCA_002215825),Cryptococcus neoformans var. grubii C23,C23,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii c45 (GCA_002215855),Cryptococcus neoformans var. grubii c45,c45,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii c8 (GCA_002222405),Cryptococcus neoformans var. grubii c8,c8,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii CHC193 (GCA_002222295),Cryptococcus neoformans var. grubii CHC193,CHC193,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii D17-1 (GCA_002222255),Cryptococcus neoformans var. grubii D17-1,D17-1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Gb118 (GCA_002224005),Cryptococcus neoformans var. grubii Gb118,Gb118,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii H99,Cryptococcus neoformans var. grubii H99,H99,Basidiomycota,FungiDB,,,
Cryptococcus neoformans var. grubii H99,Cryptococcus neoformans var. grubii H99,H99,Basidiomycota,JGI,,,
Cryptococcus neoformans var. grubii H99 (GCA_000149245),Cryptococcus neoformans var. grubii H99,H99,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii KN99,Cryptococcus neoformans var. grubii KN99,KN99,Basidiomycota,FungiDB,,,
Cryptococcus neoformans var. grubii MW-RSA1955 (GCA_002222455),Cryptococcus neoformans var. grubii MW-RSA1955,MW-RSA1955,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii MW-RSA36 (GCA_002222395),Cryptococcus neoformans var. grubii MW-RSA36,MW-RSA36,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii MW-RSA852 (GCA_002220035),Cryptococcus neoformans var. grubii MW-RSA852,MW-RSA852,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CCTP51 (GCA_002217545),Cryptococcus neoformans var. grubii str. CCTP51,CCTP51,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM20 (GCA_002222115),Cryptococcus neoformans var. grubii str. CM20,CM20,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM24 (GCA_002222145),Cryptococcus neoformans var. grubii str. CM24,CM24,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM36 (GCA_002222245),Cryptococcus neoformans var. grubii str. CM36,CM36,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM50 (GCA_002222135),Cryptococcus neoformans var. grubii str. CM50,CM50,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM52 (GCA_002222165),Cryptococcus neoformans var. grubii str. CM52,CM52,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. CM64 (GCA_002222025),Cryptococcus neoformans var. grubii str. CM64,CM64,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. KN99 (GCA_002216725),Cryptococcus neoformans var. grubii str. KN99,KN99,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. RCT21 (GCA_002222155),Cryptococcus neoformans var. grubii str. RCT21,RCT21,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. RCT54 (GCA_002222015),Cryptococcus neoformans var. grubii str. RCT54,RCT54,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. RCT6 (GCA_002222095),Cryptococcus neoformans var. grubii str. RCT6,RCT6,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. V2 (GCA_002215755),Cryptococcus neoformans var. grubii str. V2,V2,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii str. WM-1408 (GCA_002220045),Cryptococcus neoformans var. grubii str. WM-1408,WM-1408,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Th84 (GCA_002222315),Cryptococcus neoformans var. grubii Th84,Th84,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Tu259-1 (GCA_002222325),Cryptococcus neoformans var. grubii Tu259-1,Tu259-1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Tu401-1 (GCA_002222475),Cryptococcus neoformans var. grubii Tu401-1,Tu401-1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. grubii Ze90-1 (GCA_002222385),Cryptococcus neoformans var. grubii Ze90-1,Ze90-1,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. neoformans B-3501A,Cryptococcus neoformans var. neoformans B-3501A,B-3501A,Basidiomycota,FungiDB,,,
Cryptococcus neoformans var. neoformans B-3501A (GCA_000149385),Cryptococcus neoformans var. neoformans B-3501A,B-3501A,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus neoformans var. neoformans JEC21,Cryptococcus neoformans var. neoformans JEC21,JEC21,Basidiomycota,FungiDB,,,
Cryptococcus neoformans var. neoformans JEC21,Cryptococcus neoformans var. neoformans JEC21,JEC21,Basidiomycota,Ensembl-Genbank,,,
Cryptococcus wieringae v1.0,Cryptococcus wieringae,05-544,Basidiomycota,JGI,,,
Cryptodiaporthe sp. AZ0812 v1.0,Cryptodiaporthe sp. AZ0812,AZ0812,,JGI,,,
Cryptomycota sp. Smith's Fen BAUOC (Environmental single-cell) v1.0,Cryptomycota sp. Smith's Fen BAUOC (Environmental single-cell),,Cryptomycota,JGI,,NO,
Cucurbitaria berberidis CBS 394.84 v1.0,Cucurbitaria berberidis CBS 394.84,CBS 394.84,,JGI,,,
Cunninghamella echinulata NRRL 1382 v1.0,Cunninghamella echinulata NRRL 1382,NRRL 1382,Mucoromycota,JGI,,,
Cutaneotrichosporon oleaginosum str. IBC0246 (GCA_001027345),Cutaneotrichosporon oleaginosum str. IBC0246,IBC0246,,Ensembl-Genbank,,,
Cyberlindnera fabianii str. 65 (GCA_001983305),Cyberlindnera fabianii str. 65,65,,Ensembl-Genbank,,,
Cyberlindnera fabianii str. YJS4271 (GCA_003205855),Cyberlindnera fabianii str. YJS4271,YJS4271,,Ensembl-Genbank,,,
Cyberlindnera jadinii NRRL Y-1542 (GCA_001661405),Cyberlindnera jadinii NRRL Y-1542,NRRL Y-1542,,Ensembl-Genbank,,,
Cyberlindnera jadinii NRRL Y-1542 v1.0,Cyberlindnera jadinii NRRL Y-1542,NRRL Y-1542,,JGI,,,
Cyberlindnera jadinii str. CBS1600 (GCA_001245095),Cyberlindnera jadinii str. CBS1600,CBS 1600,,Ensembl-Genbank,,,
Cylindrobasidium torrendii FP15055 v1.0,Cylindrobasidium torrendii FP15055,FP15055,,JGI,,,
Cylindrobasidium torrendii FP15055 ss-10 (GCA_000934385),Cylindrobasidium torrendii FP15055 ss-10,FP15055 ss-10,,Ensembl-Genbank,,,
Cylindrocarpon olidum MPI-CAGE-CH-0241 v1.0,Cylindrocarpon olidum MPI-CAGE-CH-0241,MPI-CAGE-CH-0241,,JGI,,,
Cyphellophora europaea CBS 101466,Cyphellophora europaea CBS 101466,CBS 101466,,JGI,,,
Cyphellophora europaea CBS 101466 (GCA_000365145),Cyphellophora europaea CBS 101466,CBS 101466,,Ensembl-Genbank,,,
Cystobasidium minutum MCA 4210 v1.0,Cystobasidium minutum MCA 4210,MCA 4210,,JGI,,,
Cystostereum murrayi CysMur001 v1.0,Cystostereum murrayi CysMur001,CysMur001,,JGI,,,
Cytidiella melzeri FP 102339 v1.0,Cytidiella melzeri FP 102339,FP 102339,,JGI,,,
Dacrymyces fennicus OMC1656 v1.0,Dacrymyces fennicus OMC1656,OMC1656,,JGI,,,
Dacryonaema rufum OMC1653 v1.0,Dacryonaema rufum OMC1653,OMC1653,,JGI,,,
Dacryopinax primogenitus DJM 731 SSP1 v1.0,Dacryopinax primogenitus DJM 731 SSP1,DJM 731 SSP1,,JGI,,,
Dacryopinax primogenitus str. DJM-731 SS1 (GCA_000292625),Dacryopinax primogenitus str. DJM-731 SS1,DJM-731 SS1,,Ensembl-Genbank,,,
Dactylellina haptotyla CBS 200.50 (GCA_000441935),Dactylellina haptotyla CBS 200.50,CBS 200.50,,Ensembl-Genbank,,,
Dactylonectria estremocensis MPI-CAGE-AT-0021 v1.0,Dactylonectria estremocensis MPI-CAGE-AT-0021,MPI-CAGE-AT-0021,,JGI,,,
Dactylonectria macrodidyma MPI-CAGE-AT-0147 v1.0,Dactylonectria macrodidyma MPI-CAGE-AT-0147,MPI-CAGE-AT-0147,,JGI,,,
Daedalea quercina v1.0,Daedalea quercina,L-15889,,JGI,,,
Daedalea quercina L-15889 (GCA_001632345),Daedalea quercina L-15889,L-15889,,Ensembl-Genbank,,,
Daldinia eschscholzii EC12 v1.0,Daldinia eschscholzii EC12,EC12,,JGI,,,
Daldinia sp. EC12 (GCA_002120325),Daldinia sp. EC12,EC12,,Ensembl-Genbank,,,
Debaryomyces fabryi str. CBS 789 (GCA_001447935),Debaryomyces fabryi str. CBS 789,CBS 789,,Ensembl-Genbank,,,
Debaryomyces hansenii,Debaryomyces hansenii,CBS 767,,JGI,,,
Debaryomyces hansenii CBS767 (GCA_000006445),Debaryomyces hansenii CBS 767,CBS 767,,Ensembl-Genbank,,,
Decorospora gaudefroyi v1.0,Decorospora gaudefroyi,CBS 2499,,JGI,,,
Dekkera bruxellensis CBS 2499 v2.0,Dekkera bruxellensis CBS 2499,CBS 2499,,JGI,,,
Delitschia confertaspora ATCC 74209 v1.0,Delitschia confertaspora ATCC 74209,ATCC 74209,,JGI,,,
Delphinella strobiligena CBS 735.71 v1.0,Delphinella strobiligena CBS 735.71,CBS 735.71,,JGI,,,
Dendrothele bispora CBS 962.96 v1.0,Dendrothele bispora CBS 962.96,CBS 962.96,,JGI,,,
Dendrothele microspora FP 101998 v1.0,Dendrothele microspora FP 101998,FP 101998,,JGI,,,
Dendryphion nanum MPI-CAGE-CH-0243 v1.0,Dendryphion nanum MPI-CAGE-CH-0243,MPI-CAGE-CH-0243,,JGI,,,
Dentipellis sp. KUC8613 v1.0,Dentipellis sp. KUC8613,KUC8613,,JGI,,,
Diaporthe ampelina (GCA_001006365),Diaporthe ampelina,UCDDA912,,Ensembl-Genbank,,,
Diaporthe ampelina UCDDA912,Diaporthe ampelina UCDDA912,UCDDA912,,JGI,,,
Diaporthe helianthi str. 7/96 (GCA_001702395),Diaporthe helianthi str. 7/96,7/96,,Ensembl-Genbank,,,
Dichomitus squalens LYAD-421 SS1 (GCA_000275845),Dichomitus squalens LYAD-421 SS1,LYAD-421 SS1,,Ensembl-Genbank,,,
Dichomitus squalens LYAD-421 SS1 v1.0,Dichomitus squalens LYAD-421 SS1,LYAD-421 SS1,,JGI,,,
Dichotomocladium elegans RSA 919- v1.0,Dichotomocladium elegans RSA 919-,RSA 919-,,JGI,,,
Didymella exigua CBS 183.55 v1.0,Didymella exigua CBS 183.55,CBS 183.55,,JGI,,,
Didymocrea sadasivanii CBS 438.65 v1.0,Didymocrea sadasivanii CBS 438.65,CBS 438.65,,JGI,,,
Dimargaris cristalligena RSA 468 single-cell v1.0,Dimargaris cristalligena RSA 468 single-cell,RSA 468 single-cell,,JGI,,,
Diplocarpon rosae (GCA_002317995),Diplocarpon rosae,DortE4,,Ensembl-Genbank,,,
Diplodia corticola str. CBS 112549 (GCA_001883845),Diplodia corticola str. CBS 112549,CBS 112549,,Ensembl-Genbank,,,
Diplodia seriata (GCA_001006355),Diplodia seriata,DS831,,Ensembl-Genbank,,,
Diplodia seriata DS831,Diplodia seriata DS831,DS831,,JGI,,,
Diplodia seriata str. F98.1 (GCA_001975905),Diplodia seriata str. F98.1,F98.1,,Ensembl-Genbank,,,
Dissoconium aciculare v1.0,Dissoconium aciculare,CBS 342.82 ,,JGI,,,
Dissophora ornata CBS 347.77 v1.0,Dissophora ornata CBS 347.77,CBS 347.77,,JGI,,,
Dothidotthia symphoricarpi v1.0,Dothidotthia symphoricarpi,CBS 119687,,JGI,,,
Dothistroma septosporum,Dothistroma septosporum,NZE10,,Ensembl-Genbank,,,
Dothistroma septosporum NZE10 v1.0,Dothistroma septosporum NZE10,NZE10,,JGI,,,
Drechmeria coniospora str. ARSEF 6962 (GCA_001625195),Drechmeria coniospora str. ARSEF 6962,ARSEF 6962,,Ensembl-Genbank,,,
Drechslerella stenobrocha 248 (GCA_000525045),Drechslerella stenobrocha 248,248,,Ensembl-Genbank,,,
Echinodontium tinctorium Aho-80 v1.0,Echinodontium tinctorium Aho-80,Aho-80,,JGI,,,
Edhazardia aedis USNM 41457 (GCA_000230595),Edhazardia aedis USNM 41457,USNM 41457,,Ensembl-Genbank,,,
Elaphomyces granulatus str. OSC145934 (GCA_002240705),Elaphomyces granulatus str. OSC145934,OSC145934,,Ensembl-Genbank,,,
Elsinoe ampelina CECT 20119 v1.0,Elsinoe ampelina CECT 20119,CECT 20119,,JGI,,,
Elsinoe ampelina CECT 20119 v1.0,Elsinoe ampelina CECT 20119,CECT 20119,,JGI,,,
Elsinoe australis str. NL1 (GCA_003013795),Elsinoe australis str. NL1,NL1,,Ensembl-Genbank,,,
Emergomyces pasteuriana Ep9510 str. UAMH 9510 (GCA_001883825),Emergomyces pasteuriana Ep9510 str. UAMH 9510,Ep9510 UAMH 9510,,Ensembl-Genbank,,,
Emmonsia crescens str. UAMH4076 (GCA_002572855),Emmonsia crescens str. UAMH4076,UAMH4076,,Ensembl-Genbank,,,
Emmonsia crescens UAMH 3008 (GCA_001008285),Emmonsia crescens UAMH 3008,UAMH 3008,,Ensembl-Genbank,,,
Emmonsia parva str. UAMH130 (GCA_002572885),Emmonsia parva str. UAMH130,UAMH130,,Ensembl-Genbank,,,
Emmonsia parva UAMH 139 (GCA_001014755),Emmonsia parva UAMH 139,UAMH 139,,Ensembl-Genbank,,,
Emmonsia sp. CAC-2015a str. CBS 136260 (GCA_001660665),Emmonsia sp. CAC-2015a str. CBS 136260,CAC-2015a CBS 136260,,Ensembl-Genbank,,,
Encephalitozoon cuniculi EcunIII-L (GCA_001078035),Encephalitozoon cuniculi EcunIII-L,EcunIII-L,,Ensembl-Genbank,,,
Encephalitozoon cuniculi GB-M1,Encephalitozoon cuniculi GB-M1,GB-M1,,JGI,,,
Encephalitozoon hellem ATCC 50504,Encephalitozoon hellem ATCC 50504,ATCC 50504,,JGI,,,
Encephalitozoon hellem ATCC 50504 (GCA_000277815),Encephalitozoon hellem ATCC 50504,ATCC 50504,,Ensembl-Genbank,,,
Encephalitozoon intestinalis ATCC 50506,Encephalitozoon intestinalis ATCC 50506,ATCC 50506,,JGI,,,
Encephalitozoon intestinalis ATCC 50506 (GCA_000146465),Encephalitozoon intestinalis ATCC 50506,ATCC 50506,,Ensembl-Genbank,,,
Encephalitozoon romaleae SJ-2008,Encephalitozoon romaleae SJ-2008,SJ-2008,,JGI,,,
Encephalitozoon romaleae SJ-2008 (GCA_000280035),Encephalitozoon romaleae SJ-2008,SJ-2008,,Ensembl-Genbank,,,
Endocarpon pusillum Z07020,Endocarpon pusillum Z07020,Z07020,,JGI,,,
Endocarpon pusillum Z07020 (GCA_000464535),Endocarpon pusillum Z07020,Z07020,,Ensembl-Genbank,,,
Endogone sp FLAS 59071,Endogone sp FLAS 59071,FLAS 59071,,JGI,,,
Enterocytozoon bieneusi H348,Enterocytozoon bieneusi H348,H348,,JGI,,,
Enterocytozoon bieneusi H348 (GCA_000209485),Enterocytozoon bieneusi H348,H348,,Ensembl-Genbank,,,
Enterocytozoon hepatopenaei str. TH1 (GCA_002081675),Enterocytozoon hepatopenaei str. TH1,TH1,,Ensembl-Genbank,,,
Enterospora canceri str. GB1 (GCA_002087915),Enterospora canceri str. GB1,GB1,,Ensembl-Genbank,,,
Entophlyctis helioformis JEL805 v1.0,Entophlyctis helioformis JEL805,JEL805,,JGI,,,
Epicoccum nigrum str. ICMP 19927 (GCA_002116315),Epicoccum nigrum str. ICMP 19927,ICMP 19927,,Ensembl-Genbank,,,
Epithele typhae CBS 203.58 v1.0,Epithele typhae CBS 203.58,CBS 203.58,,JGI,,,
Eremomyces bilateralis CBS 781.70 v1.0,Eremomyces bilateralis CBS 781.70,CBS 781.70,,JGI,,,
